index,WEP ($/MWh),predicted,MAE,MSE,MAPE
2020-01-26 00:00:00,85.59,74.94158172607422,10.648418273925785,113.38881173647658,12.441194384771332
2020-01-26 00:30:00,81.26,71.04850006103516,10.211499938964849,104.27473100347912,12.566453284475571
2020-01-26 01:00:00,75.57,69.76261901855469,5.807380981445306,33.725673863652645,7.684770386985981
2020-01-26 01:30:00,71.42,65.92450714111328,5.4954928588867205,30.20044176207494,7.694613356044133
2020-01-26 02:00:00,70.34,62.806514739990234,7.533485260009769,56.75340016278446,10.710101307946786
2020-01-26 02:30:00,69.29,61.62580490112305,7.664195098876959,58.73988651364961,11.06104069689271
2020-01-26 03:00:00,68.43,59.00163269042969,9.42836730957032,88.89411012417426,13.778119698334528
2020-01-26 03:30:00,67.15,57.80552673339844,9.344473266601568,87.31918063023139,13.9158202034275
2020-01-26 04:00:00,66.25,57.94926071166992,8.300739288330078,68.90227273282653,12.529417793705777
2020-01-26 04:30:00,67.32,57.94948959350586,9.370510406494134,87.80646527821486,13.91935592170846
2020-01-26 05:00:00,67.87,59.05298614501953,8.817013854980473,77.73973331891763,12.991032643259867
2020-01-26 05:30:00,69.11,60.06671905517578,9.043280944824218,81.7809302470208,13.08534357520506
2020-01-26 06:00:00,70.82,61.91585922241211,8.904140777587884,79.28372298710336,12.572918352990516
2020-01-26 06:30:00,72.03,63.898529052734375,8.131470947265626,66.12081976622494,11.289005896523152
2020-01-26 07:00:00,71.94,65.94876098632812,5.991239013671873,35.894944918943914,8.32810538458698
2020-01-26 07:30:00,80.9,68.64323425292969,12.256765747070318,150.22830657855621,15.150513902435497
2020-01-26 08:00:00,79.54,69.89813995361328,9.641860046386725,92.96546515410861,12.12202671157496
2020-01-26 08:30:00,81.33,74.85376739501953,6.476232604980467,41.941588753812084,7.962907420362065
2020-01-26 09:00:00,81.37,79.86481475830078,1.5051852416992233,2.2655826118291493,1.8498036643716642
2020-01-26 09:30:00,83.52,81.19821166992188,2.321788330078121,5.39070104968695,2.7799189775839572
2020-01-26 10:00:00,82.98,82.83576202392578,0.14423797607422273,0.020804593741988047,0.17382257902412956
2020-01-26 10:30:00,82.23,81.67803955078125,0.551960449218754,0.3046603375017687,0.6712397533974875
2020-01-26 11:00:00,81.3,84.94602966308594,3.6460296630859403,13.293532304102575,4.484661332209028
2020-01-26 11:30:00,81.18,83.5027084350586,2.322708435058587,5.39497447429231,2.861183093198555
2020-01-26 12:00:00,80.9,84.15764617919922,3.257646179199213,10.612258628851231,4.026756711000263
2020-01-26 12:30:00,80.66,83.75489044189453,3.0948904418945347,9.578346847330147,3.8369581476500554
2020-01-26 13:00:00,80.77,83.61312866210938,2.843128662109379,8.083380589307867,3.5200305337493862
2020-01-26 13:30:00,80.86,81.89752197265625,1.0375219726562506,1.0764518437445176,1.2831090436015962
2020-01-26 14:00:00,82.46,79.53945922851562,2.9205407714843687,8.529558397902512,3.541766640170227
2020-01-26 14:30:00,82.96,80.47837829589844,2.4816217041015562,6.158446282267912,2.991347280739581
2020-01-26 15:00:00,83.03,79.31156158447266,3.718438415527345,13.826784250069512,4.478427575005835
2020-01-26 15:30:00,83.25,78.00544738769531,5.2445526123046875,27.505332103231922,6.299762897663289
2020-01-26 16:00:00,83.82,79.4343490600586,4.385650939941399,19.23393416700888,5.23222493431329
2020-01-26 16:30:00,85.69,80.01080322265625,5.679196777343748,32.25327603579161,6.627607395663143
2020-01-26 17:00:00,86.08,80.18328857421875,5.896711425781248,34.77120563893912,6.850268849652938
2020-01-26 17:30:00,87.1,81.2975082397461,5.802491760253901,33.66891062781441,6.661873433127326
2020-01-26 18:00:00,87.75,81.75118255615234,5.998817443847656,35.98581072461093,6.836259195267984
2020-01-26 18:30:00,88.58,79.23724365234375,9.342756347656248,87.28709617167112,10.547252593877001
2020-01-26 19:00:00,88.87,81.50193786621094,7.368062133789067,54.2883396073763,8.290831702249427
2020-01-26 19:30:00,91.41,79.67185974121094,11.738140258789059,137.7839367350045,12.841199276653603
2020-01-26 20:00:00,106.96,80.14081573486328,26.819184265136712,719.2686446473566,25.074031661496555
2020-01-26 20:30:00,117.56,77.26628112792969,40.293718872070315,1623.5837805414355,34.275024559433746
2020-01-26 21:00:00,116.67,78.04116821289062,38.62883178710938,1492.1866452367917,33.10948126091487
2020-01-26 21:30:00,106.74,80.11058044433594,26.629419555664057,709.1259858715833,24.947929132156695
2020-01-26 22:00:00,89.5,77.37017822265625,12.12982177734375,147.1325763501227,13.552873494238826
2020-01-26 22:30:00,88.63,77.19489288330078,11.435107116699214,130.761674770385,12.902072793297096
2020-01-26 23:00:00,87.29,74.3559341430664,12.9340658569336,167.2900595914955,14.817351193646006
2020-01-26 23:30:00,85.33,73.07268524169922,12.25731475830078,150.2417650840581,14.364601849643478
