"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Aug 2019","22","GT","-0.033","-0.033"
"MG","01 Aug 2019","22","IGS","25.813","10.173"
"MG","01 Aug 2019","22","ST","32.801","32.231"
"MG","01 Aug 2019","23","CCGT/COGEN/TRIGEN","3370.762","3177.414"
"MG","01 Aug 2019","23","GT","-0.035","-0.035"
"MG","01 Aug 2019","23","IGS","27.267","10.082"
"MG","01 Aug 2019","23","ST","31.635","31.635"
"MG","01 Aug 2019","24","CCGT/COGEN/TRIGEN","3342.314","3148.920"
"MG","01 Aug 2019","24","GT","-0.034","-0.034"
"MG","01 Aug 2019","24","IGS","29.625","11.639"
"MG","01 Aug 2019","24","ST","32.921","32.921"
"MG","01 Aug 2019","25","CCGT/COGEN/TRIGEN","3307.380","3113.828"
"MG","01 Aug 2019","25","GT","-0.046","-0.046"
"MG","01 Aug 2019","25","IGS","29.689","11.651"
"MG","01 Aug 2019","25","ST","34.263","34.263"
"MG","01 Aug 2019","26","CCGT/COGEN/TRIGEN","3291.489","3098.811"
"MG","01 Aug 2019","26","GT","-0.055","-0.055"
"MG","01 Aug 2019","26","IGS","30.879","12.525"
"MG","01 Aug 2019","26","ST","34.307","34.307"
"MG","01 Aug 2019","27","CCGT/COGEN/TRIGEN","3320.909","3128.170"
"MG","01 Aug 2019","27","GT","-0.052","-0.052"
"MG","01 Aug 2019","27","IGS","32.240","13.777"
"MG","01 Aug 2019","27","ST","33.309","33.309"
"MG","01 Aug 2019","28","CCGT/COGEN/TRIGEN","3342.170","3150.039"
"MG","01 Aug 2019","28","GT","-0.050","-0.050"
"MG","01 Aug 2019","28","IGS","30.266","13.389"
"MG","01 Aug 2019","28","ST","33.272","33.272"
"MG","01 Aug 2019","29","CCGT/COGEN/TRIGEN","3357.251","3164.700"
"MG","01 Aug 2019","29","GT","-0.037","-0.037"
"MG","01 Aug 2019","29","IGS","29.710","12.466"
