"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Feb 2019","22","GT","-0.034","-0.034"
"MG","01 Feb 2019","22","IGS","14.519","6.620"
"MG","01 Feb 2019","22","ST","51.864","50.480"
"MG","01 Feb 2019","23","CCGT/COGEN/TRIGEN","3209.855","3079.444"
"MG","01 Feb 2019","23","GT","-0.034","-0.034"
"MG","01 Feb 2019","23","IGS","15.752","7.221"
"MG","01 Feb 2019","23","ST","52.147","50.757"
"MG","01 Feb 2019","24","CCGT/COGEN/TRIGEN","3197.076","3066.661"
"MG","01 Feb 2019","24","GT","-0.035","-0.035"
"MG","01 Feb 2019","24","IGS","17.182","8.014"
"MG","01 Feb 2019","24","ST","52.069","50.672"
"MG","01 Feb 2019","25","CCGT/COGEN/TRIGEN","3171.969","3041.674"
"MG","01 Feb 2019","25","GT","-0.034","-0.034"
"MG","01 Feb 2019","25","IGS","17.075","8.085"
"MG","01 Feb 2019","25","ST","52.315","50.924"
"MG","01 Feb 2019","26","CCGT/COGEN/TRIGEN","3159.840","3027.583"
"MG","01 Feb 2019","26","GT","-0.035","-0.035"
"MG","01 Feb 2019","26","IGS","17.039","8.268"
"MG","01 Feb 2019","26","ST","50.952","49.565"
"MG","01 Feb 2019","27","CCGT/COGEN/TRIGEN","3194.028","3053.179"
"MG","01 Feb 2019","27","GT","-0.034","-0.034"
"MG","01 Feb 2019","27","IGS","16.599","7.865"
"MG","01 Feb 2019","27","ST","51.129","49.740"
"MG","01 Feb 2019","28","CCGT/COGEN/TRIGEN","3217.658","3076.790"
"MG","01 Feb 2019","28","GT","-0.057","-0.057"
"MG","01 Feb 2019","28","IGS","17.185","8.244"
"MG","01 Feb 2019","28","ST","49.876","48.484"
"MG","01 Feb 2019","29","CCGT/COGEN/TRIGEN","3244.528","3104.207"
"MG","01 Feb 2019","29","GT","-0.053","-0.053"
"MG","01 Feb 2019","29","IGS","16.403","6.994"
"MG","01 Feb 2019","29","ST","49.726","48.350"
"MG","01 Feb 2019","30","CCGT/COGEN/TRIGEN","3242.443","3102.155"
"MG","01 Feb 2019","30","GT","-0.054","-0.054"
"MG","01 Feb 2019","30","IGS","15.039","6.685"
"MG","01 Feb 2019","30","ST","50.520","49.137"
"MG","01 Feb 2019","31","CCGT/COGEN/TRIGEN","3238.688","3095.286"
"MG","01 Feb 2019","31","GT","-0.055","-0.055"
"MG","01 Feb 2019","31","IGS","11.728","5.126"
"MG","01 Feb 2019","31","ST","51.948","50.558"
"MG","01 Feb 2019","32","CCGT/COGEN/TRIGEN","3243.458","3097.373"
"MG","01 Feb 2019","32","GT","-0.052","-0.052"
"MG","01 Feb 2019","32","IGS","12.601","4.743"
"MG","01 Feb 2019","32","ST","51.624","50.248"
"MG","01 Feb 2019","33","CCGT/COGEN/TRIGEN","3245.623","3099.689"
"MG","01 Feb 2019","33","GT","-0.052","-0.052"
"MG","01 Feb 2019","33","IGS","10.719","4.359"
"MG","01 Feb 2019","33","ST","51.355","49.970"
"MG","01 Feb 2019","34","CCGT/COGEN/TRIGEN","3237.531","3091.973"
"MG","01 Feb 2019","34","GT","-0.047","-0.047"
"MG","01 Feb 2019","34","IGS","8.357","2.425"
"MG","01 Feb 2019","34","ST","51.131","49.756"
"MG","01 Feb 2019","35","CCGT/COGEN/TRIGEN","3205.045","3058.940"
"MG","01 Feb 2019","35","GT","-0.035","-0.035"
"MG","01 Feb 2019","35","IGS","5.202","1.315"
"MG","01 Feb 2019","35","ST","50.751","49.365"
"MG","01 Feb 2019","36","CCGT/COGEN/TRIGEN","3153.177","3006.735"
"MG","01 Feb 2019","36","GT","-0.034","-0.034"
"MG","01 Feb 2019","36","IGS","3.481","0.752"
"MG","01 Feb 2019","36","ST","51.742","50.369"
"MG","01 Feb 2019","37","CCGT/COGEN/TRIGEN","3080.906","2925.226"
"MG","01 Feb 2019","37","GT","-0.033","-0.033"
"MG","01 Feb 2019","37","IGS","1.634","0.169"
"MG","01 Feb 2019","37","ST","52.465","51.080"
"MG","01 Feb 2019","38","CCGT/COGEN/TRIGEN","3061.374","2902.378"
"MG","01 Feb 2019","38","GT","-0.034","-0.034"
"MG","01 Feb 2019","38","IGS","0.642","0.008"
"MG","01 Feb 2019","38","ST","52.131","50.747"
"MG","01 Feb 2019","39","CCGT/COGEN/TRIGEN","3051.267","2892.027"
"MG","01 Feb 2019","39","GT","-0.036","-0.036"
"MG","01 Feb 2019","39","IGS","0.170","0.006"
"MG","01 Feb 2019","39","ST","52.673","51.292"
"MG","01 Feb 2019","40","CCGT/COGEN/TRIGEN","3055.977","2896.109"
"MG","01 Feb 2019","40","GT","-0.035","-0.035"
"MG","01 Feb 2019","40","IGS","-0.002","-0.002"
"MG","01 Feb 2019","40","ST","51.452","50.086"
"MG","01 Feb 2019","41","CCGT/COGEN/TRIGEN","3022.201","2860.275"
"MG","01 Feb 2019","41","GT","-0.035","-0.035"
"MG","01 Feb 2019","41","IGS","-0.002","-0.002"
"MG","01 Feb 2019","41","ST","52.549","51.174"
"MG","01 Feb 2019","42","CCGT/COGEN/TRIGEN","2999.189","2833.372"
"MG","01 Feb 2019","42","GT","-0.036","-0.036"
"MG","01 Feb 2019","42","IGS","-0.002","-0.002"
"MG","01 Feb 2019","42","ST","51.333","49.980"
"MG","01 Feb 2019","43","CCGT/COGEN/TRIGEN","2981.212","2815.156"
"MG","01 Feb 2019","43","GT","-0.035","-0.035"
"MG","01 Feb 2019","43","IGS","-0.002","-0.002"
"MG","01 Feb 2019","43","ST","51.775","50.438"
"MG","01 Feb 2019","44","CCGT/COGEN/TRIGEN","2941.871","2775.461"
"MG","01 Feb 2019","44","GT","-0.034","-0.034"
"MG","01 Feb 2019","44","IGS","-0.002","-0.002"
"MG","01 Feb 2019","44","ST","51.353","50.028"
"MG","01 Feb 2019","45","CCGT/COGEN/TRIGEN","2879.645","2713.158"
"MG","01 Feb 2019","45","GT","-0.034","-0.034"
"MG","01 Feb 2019","45","IGS","-0.002","-0.002"
"MG","01 Feb 2019","45","ST","51.373","50.040"
"MG","01 Feb 2019","46","CCGT/COGEN/TRIGEN","2821.232","2653.139"
"MG","01 Feb 2019","46","GT","-0.034","-0.034"
"MG","01 Feb 2019","46","IGS","-0.003","-0.003"
"MG","01 Feb 2019","46","ST","52.015","50.682"
"MG","01 Feb 2019","47","CCGT/COGEN/TRIGEN","2763.913","2594.478"
"MG","01 Feb 2019","47","GT","-0.034","-0.034"
"MG","01 Feb 2019","47","IGS","-0.002","-0.002"
"MG","01 Feb 2019","47","ST","53.300","51.968"
"MG","01 Feb 2019","48","CCGT/COGEN/TRIGEN","2724.187","2554.543"
"MG","01 Feb 2019","48","GT","-0.033","-0.033"
"MG","01 Feb 2019","48","IGS","-0.002","-0.002"
"MG","01 Feb 2019","48","ST","52.273","50.942"
"MG","02 Feb 2019","1","CCGT/COGEN/TRIGEN","2661.677","2491.025"
"MG","02 Feb 2019","1","GT","-0.033","-0.033"
"MG","02 Feb 2019","1","IGS","-0.002","-0.002"
"MG","02 Feb 2019","1","ST","52.928","51.597"
"MG","02 Feb 2019","2","CCGT/COGEN/TRIGEN","2596.388","2424.906"
"MG","02 Feb 2019","2","GT","-0.034","-0.034"
"MG","02 Feb 2019","2","IGS","-0.002","-0.002"
"MG","02 Feb 2019","2","ST","53.098","51.763"
"MG","02 Feb 2019","3","CCGT/COGEN/TRIGEN","2560.330","2387.478"
"MG","02 Feb 2019","3","GT","-0.033","-0.033"
"MG","02 Feb 2019","3","IGS","-0.002","-0.002"
"MG","02 Feb 2019","3","ST","53.419","52.079"
"MG","02 Feb 2019","4","CCGT/COGEN/TRIGEN","2514.509","2337.847"
"MG","02 Feb 2019","4","GT","-0.033","-0.033"
"MG","02 Feb 2019","4","IGS","-0.002","-0.002"
"MG","02 Feb 2019","4","ST","53.546","52.211"
"MG","02 Feb 2019","5","CCGT/COGEN/TRIGEN","2474.292","2295.039"
"MG","02 Feb 2019","5","GT","-0.034","-0.034"
"MG","02 Feb 2019","5","IGS","-0.002","-0.002"
"MG","02 Feb 2019","5","ST","53.124","51.784"
"MG","02 Feb 2019","6","CCGT/COGEN/TRIGEN","2436.883","2257.284"
"MG","02 Feb 2019","6","GT","-0.033","-0.033"
"MG","02 Feb 2019","6","IGS","-0.002","-0.002"
"MG","02 Feb 2019","6","ST","53.033","51.694"
"MG","02 Feb 2019","7","CCGT/COGEN/TRIGEN","2423.215","2243.625"
"MG","02 Feb 2019","7","GT","-0.033","-0.033"
"MG","02 Feb 2019","7","IGS","-0.002","-0.002"
"MG","02 Feb 2019","7","ST","53.381","52.049"
"MG","02 Feb 2019","8","CCGT/COGEN/TRIGEN","2404.358","2222.738"
"MG","02 Feb 2019","8","GT","-0.032","-0.032"
"MG","02 Feb 2019","8","IGS","-0.002","-0.002"
"MG","02 Feb 2019","8","ST","53.326","51.991"
"MG","02 Feb 2019","9","CCGT/COGEN/TRIGEN","2394.127","2212.061"
"MG","02 Feb 2019","9","GT","-0.033","-0.033"
"MG","02 Feb 2019","9","IGS","-0.003","-0.003"
"MG","02 Feb 2019","9","ST","53.499","52.153"
"MG","02 Feb 2019","10","CCGT/COGEN/TRIGEN","2388.756","2206.243"
"MG","02 Feb 2019","10","GT","-0.033","-0.033"
"MG","02 Feb 2019","10","IGS","-0.002","-0.002"
"MG","02 Feb 2019","10","ST","54.084","52.742"
"MG","02 Feb 2019","11","CCGT/COGEN/TRIGEN","2391.633","2207.765"
"MG","02 Feb 2019","11","GT","-0.033","-0.033"
"MG","02 Feb 2019","11","IGS","-0.002","-0.002"
"MG","02 Feb 2019","11","ST","54.306","52.960"
"MG","02 Feb 2019","12","CCGT/COGEN/TRIGEN","2419.442","2235.289"
"MG","02 Feb 2019","12","GT","-0.033","-0.033"
