"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Jul 2019","22","GT","-0.033","-0.033"
"MG","01 Jul 2019","22","IGS","16.885","5.493"
"MG","01 Jul 2019","22","ST","46.443","44.427"
"MG","01 Jul 2019","23","CCGT/COGEN/TRIGEN","3375.929","3150.686"
"MG","01 Jul 2019","23","GT","-0.033","-0.033"
"MG","01 Jul 2019","23","IGS","20.827","7.294"
"MG","01 Jul 2019","23","ST","46.207","44.187"
"MG","01 Jul 2019","24","CCGT/COGEN/TRIGEN","3363.053","3136.844"
"MG","01 Jul 2019","24","GT","-0.032","-0.032"
"MG","01 Jul 2019","24","IGS","21.965","8.416"
"MG","01 Jul 2019","24","ST","44.308","42.257"
"MG","01 Jul 2019","25","CCGT/COGEN/TRIGEN","3324.379","3098.756"
"MG","01 Jul 2019","25","GT","-0.034","-0.034"
"MG","01 Jul 2019","25","IGS","24.383","8.491"
"MG","01 Jul 2019","25","ST","43.381","41.288"
"MG","01 Jul 2019","26","CCGT/COGEN/TRIGEN","3304.442","3078.950"
"MG","01 Jul 2019","26","GT","-0.033","-0.033"
"MG","01 Jul 2019","26","IGS","22.993","8.503"
"MG","01 Jul 2019","26","ST","44.062","41.984"
"MG","01 Jul 2019","27","CCGT/COGEN/TRIGEN","3329.545","3103.801"
"MG","01 Jul 2019","27","GT","-0.033","-0.033"
"MG","01 Jul 2019","27","IGS","25.665","9.971"
"MG","01 Jul 2019","27","ST","45.316","43.235"
"MG","01 Jul 2019","28","CCGT/COGEN/TRIGEN","3344.950","3119.199"
"MG","01 Jul 2019","28","GT","-0.033","-0.033"
"MG","01 Jul 2019","28","IGS","25.073","9.997"
"MG","01 Jul 2019","28","ST","44.182","42.116"
"MG","01 Jul 2019","29","CCGT/COGEN/TRIGEN","3362.300","3137.008"
"MG","01 Jul 2019","29","GT","-0.032","-0.032"
"MG","01 Jul 2019","29","IGS","23.551","8.976"
"MG","01 Jul 2019","29","ST","43.537","41.456"
"MG","01 Jul 2019","30","CCGT/COGEN/TRIGEN","3351.001","3125.933"
"MG","01 Jul 2019","30","GT","-0.032","-0.032"
"MG","01 Jul 2019","30","IGS","24.457","9.374"
"MG","01 Jul 2019","30","ST","45.171","43.141"
"MG","01 Jul 2019","31","CCGT/COGEN/TRIGEN","3344.222","3119.275"
"MG","01 Jul 2019","31","GT","-0.032","-0.032"
"MG","01 Jul 2019","31","IGS","22.240","8.323"
"MG","01 Jul 2019","31","ST","46.003","43.991"
"MG","01 Jul 2019","32","CCGT/COGEN/TRIGEN","3360.570","3136.232"
"MG","01 Jul 2019","32","GT","-0.034","-0.034"
"MG","01 Jul 2019","32","IGS","19.908","7.379"
"MG","01 Jul 2019","32","ST","45.201","43.083"
"MG","01 Jul 2019","33","CCGT/COGEN/TRIGEN","3356.985","3132.614"
"MG","01 Jul 2019","33","GT","-0.033","-0.033"
"MG","01 Jul 2019","33","IGS","17.559","6.379"
"MG","01 Jul 2019","33","ST","45.217","43.097"
"MG","01 Jul 2019","34","CCGT/COGEN/TRIGEN","3348.381","3121.954"
"MG","01 Jul 2019","34","GT","-0.034","-0.034"
"MG","01 Jul 2019","34","IGS","14.027","4.730"
"MG","01 Jul 2019","34","ST","45.284","43.126"
"MG","01 Jul 2019","35","CCGT/COGEN/TRIGEN","3319.753","3092.324"
"MG","01 Jul 2019","35","GT","-0.031","-0.031"
"MG","01 Jul 2019","35","IGS","10.451","3.254"
"MG","01 Jul 2019","35","ST","42.871","40.787"
"MG","01 Jul 2019","36","CCGT/COGEN/TRIGEN","3269.301","3041.954"
"MG","01 Jul 2019","36","GT","-0.032","-0.032"
"MG","01 Jul 2019","36","IGS","6.874","1.899"
"MG","01 Jul 2019","36","ST","43.961","41.986"
"MG","01 Jul 2019","37","CCGT/COGEN/TRIGEN","3211.234","2983.915"
"MG","01 Jul 2019","37","GT","-0.033","-0.033"
"MG","01 Jul 2019","37","IGS","3.433","0.559"
"MG","01 Jul 2019","37","ST","46.067","44.218"
"MG","01 Jul 2019","38","CCGT/COGEN/TRIGEN","3191.579","2964.783"
"MG","01 Jul 2019","38","GT","-0.056","-0.056"
"MG","01 Jul 2019","38","IGS","0.958","0.078"
"MG","01 Jul 2019","38","ST","46.651","44.797"
"MG","01 Jul 2019","39","CCGT/COGEN/TRIGEN","3202.261","2975.040"
"MG","01 Jul 2019","39","GT","-0.052","-0.052"
"MG","01 Jul 2019","39","IGS","0.011","-0.004"
"MG","01 Jul 2019","39","ST","45.720","43.869"
"MG","01 Jul 2019","40","CCGT/COGEN/TRIGEN","3211.020","2984.174"
"MG","01 Jul 2019","40","GT","-0.050","-0.050"
"MG","01 Jul 2019","40","IGS","-0.018","-0.018"
"MG","01 Jul 2019","40","ST","45.927","44.091"
"MG","01 Jul 2019","41","CCGT/COGEN/TRIGEN","3199.446","2972.915"
"MG","01 Jul 2019","41","GT","-0.052","-0.052"
"MG","01 Jul 2019","41","IGS","-0.004","-0.004"
"MG","01 Jul 2019","41","ST","46.392","44.589"
"MG","01 Jul 2019","42","CCGT/COGEN/TRIGEN","3186.356","2959.303"
"MG","01 Jul 2019","42","GT","-0.054","-0.054"
"MG","01 Jul 2019","42","IGS","-0.004","-0.004"
"MG","01 Jul 2019","42","ST","47.141","45.298"
"MG","01 Jul 2019","43","CCGT/COGEN/TRIGEN","3177.056","2948.435"
"MG","01 Jul 2019","43","GT","-0.052","-0.052"
"MG","01 Jul 2019","43","IGS","-0.004","-0.004"
"MG","01 Jul 2019","43","ST","47.014","45.270"
"MG","01 Jul 2019","44","CCGT/COGEN/TRIGEN","3138.290","2910.969"
"MG","01 Jul 2019","44","GT","-0.049","-0.049"
"MG","01 Jul 2019","44","IGS","-0.016","-0.016"
"MG","01 Jul 2019","44","ST","47.105","45.425"
"MG","01 Jul 2019","45","CCGT/COGEN/TRIGEN","3068.252","2843.335"
"MG","01 Jul 2019","45","GT","-0.034","-0.034"
"MG","01 Jul 2019","45","IGS","-0.004","-0.004"
"MG","01 Jul 2019","45","ST","47.712","46.300"
"MG","01 Jul 2019","46","CCGT/COGEN/TRIGEN","3001.449","2777.482"
"MG","01 Jul 2019","46","GT","-0.033","-0.033"
"MG","01 Jul 2019","46","IGS","-0.006","-0.006"
"MG","01 Jul 2019","46","ST","47.991","46.238"
"MG","01 Jul 2019","47","CCGT/COGEN/TRIGEN","2939.751","2716.218"
"MG","01 Jul 2019","47","GT","-0.034","-0.034"
"MG","01 Jul 2019","47","IGS","-0.004","-0.004"
"MG","01 Jul 2019","47","ST","47.499","45.571"
"MG","01 Jul 2019","48","CCGT/COGEN/TRIGEN","2877.237","2651.646"
"MG","01 Jul 2019","48","GT","-0.034","-0.034"
