"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUC ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jan 2015","1","92.55","90.46","2.08","-0.83","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","2","91.56","89.45","1.98","-0.71","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","3","89.82","89.24","0.98","-1.24","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","4","91.50","88.88","2.89","-1.11","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","5","86.12","84.84","1.42","-0.98","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","6","79.19","79.12","0.02","-0.79","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","7","77.16","76.99","0.00","-0.67","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","8","76.09","76.06","0.00","-0.81","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","9","75.97","75.63","0.00","-0.50","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","10","75.76","75.54","0.00","-0.62","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","11","75.71","75.54","0.01","-0.68","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","12","74.94","75.57","0.03","-1.51","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","13","76.37","76.07","0.42","-0.96","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","14","77.00","77.00","0.22","-1.06","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","15","76.53","77.01","0.42","-1.74","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","16","78.49","79.32","0.22","-1.89","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","17","89.72","89.24","0.41","-0.77","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","18","97.76","96.21","1.37","-0.66","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","19","122.26","120.68","1.73","-0.99","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","20","134.26","133.05","1.77","-1.40","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","21","81.36","80.94","1.02","-1.45","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","22","89.92","89.10","1.00","-1.02","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","23","89.59","89.36","0.24","-0.85","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","24","85.22","85.03","0.14","-0.79","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","25","86.02","85.54","0.32","-0.68","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","26","86.00","85.54","0.15","-0.53","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","27","86.28","85.52","0.23","-0.31","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","28","89.65","89.09","0.23","-0.51","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","29","90.10","89.36","0.24","-0.34","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","30","89.78","89.09","0.31","-0.46","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","31","94.72","93.82","0.43","-0.37","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","32","95.37","93.82","1.03","-0.32","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","33","91.09","90.28","0.44","-0.47","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","34","90.25","89.58","0.44","-0.61","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","35","90.71","90.37","0.18","-0.68","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","36","200.25","201.04","0.30","-1.93","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","37","211.59","211.98","0.81","-2.04","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","38","142.45","142.35","0.40","-1.14","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","39","164.67","164.51","0.29","-0.97","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","40","201.87","202.34","0.29","-1.60","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","41","202.48","202.98","0.13","-1.47","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","42","202.89","203.36","0.12","-1.43","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","43","200.98","201.20","0.13","-1.19","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","44","142.04","142.38","0.10","-1.28","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","45","102.20","101.87","0.20","-0.71","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","46","89.99","89.38","0.30","-0.53","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","47","173.40","172.09","1.01","-0.54","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","48","173.67","172.07","0.44","0.32","0.32","0.2700","-0.0001","0.2514"
"WEP","02 Jan 2015","1","145.41","141.79","2.06","0.75","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","2","104.80","102.67","1.56","-0.25","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","3","90.51","89.25","0.47","-0.03","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","4","81.66","78.48","2.47","-0.11","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","5","78.22","76.00","1.45","-0.04","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","6","76.13","75.53","0.00","-0.21","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","7","75.23","74.77","0.00","-0.35","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","8","74.22","74.08","0.01","-0.68","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","9","71.08","70.93","0.00","-0.66","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","10","71.04","70.89","0.01","-0.67","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","11","70.82","70.38","0.03","-0.40","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","12","74.60","73.98","0.07","-0.27","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","13","75.39","74.78","0.40","-0.61","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","14","78.00","77.91","0.05","-0.77","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","15","75.46","74.81","0.38","-0.55","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","16","77.95","77.21","0.03","-0.10","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","17","109.54","108.53","0.35","-0.16","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","18","78.03","77.24","0.46","-0.48","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","19","84.59","84.38","0.46","-1.07","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","20","85.82","85.40","0.43","-0.83","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","21","77.51","77.26","0.42","-0.99","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","22","85.47","85.40","0.41","-1.15","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","23","85.49","85.43","0.37","-1.13","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","24","84.44","84.40","0.18","-0.95","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","25","79.62","79.34","0.39","-0.93","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","26","78.03","77.32","0.71","-0.81","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","27","78.14","77.33","0.81","-0.81","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","28","77.68","77.34","0.37","-0.84","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","29","77.71","77.34","0.37","-0.82","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","30","76.74","76.25","0.38","-0.71","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","31","76.64","76.25","0.40","-0.82","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","32","76.57","76.25","0.44","-0.93","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","33","76.48","76.25","0.41","-0.99","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","34","76.17","76.08","0.41","-1.14","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","35","76.14","76.15","0.18","-1.01","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","36","76.21","76.09","0.38","-1.08","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","37","76.29","76.05","0.41","-0.98","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","38","76.51","76.19","0.40","-0.89","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","39","75.41","75.49","0.39","-1.29","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","40","75.77","75.54","0.39","-0.98","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","41","75.72","75.90","0.01","-1.00","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","42","80.18","80.47","0.01","-1.12","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","43","87.15","87.39","0.36","-1.41","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","44","79.32","79.38","0.03","-0.90","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","45","80.30","80.38","0.19","-1.08","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","46","79.33","79.34","0.43","-1.26","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","47","76.94","76.26","0.48","-0.62","0.32","0.2700","-0.0001","0.2245"
"WEP","02 Jan 2015","48","76.59","75.33","1.21","-0.77","0.32","0.2700","-0.0001","0.2245"
"WEP","03 Jan 2015","1","79.52","76.24","2.08","0.37","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","2","74.25","74.03","0.51","-1.11","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","3","74.99","74.03","0.44","-0.30","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","4","74.76","71.24","3.03","-0.33","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","5","72.21","71.24","0.28","-0.13","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","6","71.30","70.84","0.11","-0.48","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","7","71.66","70.95","0.14","-0.25","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","8","71.50","70.94","0.25","-0.51","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","9","71.43","70.93","0.13","-0.45","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","10","71.84","70.95","0.27","-0.20","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","11","72.19","71.47","0.28","-0.39","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","12","75.09","73.30","1.20","-0.23","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","13","76.19","74.00","1.60","-0.23","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","14","78.18","77.15","0.36","-0.15","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","15","83.48","81.30","1.17","0.19","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","16","92.43","91.68","0.25","-0.32","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","17","80.15","80.26","0.21","-1.14","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","18","83.74","83.82","0.25","-1.16","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","19","95.34","95.65","0.39","-1.53","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","20","132.32","132.57","0.97","-2.04","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","21","151.81","152.52","0.97","-2.51","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","22","241.57","243.42","0.97","-3.64","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","23","212.04","213.12","0.85","-2.75","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","24","152.19","152.51","0.76","-1.91","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","25","121.04","122.23","0.76","-2.77","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","26","111.29","112.18","0.48","-2.20","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","27","120.44","120.76","0.69","-1.84","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","28","110.08","110.20","0.51","-1.45","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","29","101.58","101.66","0.37","-1.28","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","30","94.85","94.91","0.33","-1.22","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","31","93.98","94.06","0.34","-1.25","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","32","86.36","86.61","0.25","-1.33","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","33","83.43","83.55","0.24","-1.19","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","34","83.77","83.48","0.22","-0.76","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","35","81.26","81.07","0.12","-0.75","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","36","81.15","80.76","0.20","-0.64","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","37","82.09","81.59","0.22","-0.54","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","38","84.98","84.83","0.21","-0.89","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","39","98.39","98.79","0.34","-1.56","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","40","98.66","98.78","0.34","-1.29","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","41","96.78","97.13","0.21","-1.39","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","42","90.87","90.89","0.17","-1.01","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","43","85.09","84.91","0.11","-0.76","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","44","81.07","81.61","0.11","-1.48","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","45","80.84","80.51","0.12","-0.62","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","46","81.09","80.30","0.21","-0.25","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","47","80.30","79.46","0.24","-0.22","0.32","0.2700","-0.0001","0.2358"
"WEP","03 Jan 2015","48","82.51","81.62","0.23","-0.16","0.32","0.2700","-0.0001","0.2358"
"WEP","04 Jan 2015","1","79.44","77.24","2.35","-0.98","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","2","75.44","73.36","2.01","-0.76","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","3","76.44","76.06","0.12","-0.58","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","4","76.22","73.24","3.05","-0.90","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","5","74.66","72.50","1.96","-0.63","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","6","74.43","73.17","0.77","-0.34","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","7","72.84","72.39","0.06","-0.44","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","8","72.66","72.23","0.00","-0.40","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","9","72.71","72.23","0.00","-0.36","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","10","72.73","72.23","0.07","-0.40","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","11","72.63","72.23","0.07","-0.51","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","12","74.43","73.24","0.84","-0.48","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","13","75.22","73.29","1.63","-0.54","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","14","74.94","73.31","1.43","-0.64","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","15","75.48","73.31","1.85","-0.52","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","16","77.28","76.06","1.02","-0.63","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","17","80.97","79.27","1.18","-0.32","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","18","82.95","80.56","2.01","-0.46","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","19","81.00","80.69","0.46","-0.98","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","20","81.86","81.62","0.27","-0.86","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","21","79.33","79.24","0.26","-1.00","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","22","79.95","80.03","0.26","-1.17","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","23","80.22","80.17","0.11","-0.89","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","24","78.95","79.34","0.09","-1.32","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","25","79.35","79.34","0.11","-0.93","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","26","79.21","79.35","0.09","-1.06","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","27","79.35","79.33","0.10","-0.91","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","28","79.57","79.35","0.10","-0.71","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","29","79.17","79.35","0.10","-1.11","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","30","79.19","79.33","0.11","-1.09","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","31","79.62","80.18","0.11","-1.50","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","32","78.73","79.35","0.43","-1.88","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","33","78.92","79.34","0.11","-1.37","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","34","79.67","80.18","0.11","-1.45","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","35","79.78","80.21","0.09","-1.35","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","36","101.65","101.89","0.10","-1.17","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","37","121.41","122.18","0.11","-1.71","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","38","81.05","81.46","0.10","-1.35","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","39","87.58","87.82","0.15","-1.22","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","40","113.12","113.45","0.34","-1.50","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","41","112.88","113.46","0.28","-1.69","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","42","101.52","102.04","0.23","-1.58","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","43","101.24","102.03","0.24","-1.86","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","44","82.26","82.72","0.07","-1.36","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","45","82.78","82.70","0.08","-0.83","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","46","80.91","80.64","0.10","-0.67","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","47","132.28","133.29","0.12","-1.96","0.32","0.2700","-0.0001","0.2432"
"WEP","04 Jan 2015","48","110.36","110.10","0.12","-0.69","0.32","0.2700","-0.0001","0.2432"
"WEP","05 Jan 2015","1","82.52","81.44","0.67","-0.39","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","2","79.71","79.09","0.39","-0.57","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","3","76.64","76.07","0.34","-0.57","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","4","76.87","74.03","2.34","-0.31","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","5","75.69","73.99","1.12","-0.22","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","6","73.01","72.45","0.02","-0.26","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","7","72.68","72.45","0.03","-0.60","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","8","72.83","72.24","0.00","-0.21","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","9","71.78","71.17","0.00","-0.19","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","10","71.52","71.17","0.03","-0.48","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","11","74.67","74.01","0.03","-0.17","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","12","79.42","79.01","0.03","-0.42","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","13","80.71","80.13","0.29","-0.51","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","14","93.83","93.90","0.00","-0.87","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","15","79.80","79.26","0.04","-0.30","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","16","80.77","80.62","0.00","-0.65","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","17","81.34","81.47","0.04","-0.97","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","18","77.03","77.24","0.28","-1.30","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","19","79.65","79.34","0.28","-0.77","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","20","79.57","79.39","0.21","-0.84","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","21","80.31","80.50","0.03","-1.02","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","22","80.75","80.74","0.03","-0.83","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","23","80.70","80.59","0.00","-0.69","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","24","79.90","80.34","0.00","-1.25","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","25","78.45","79.48","0.03","-1.86","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","26","78.59","79.47","0.00","-1.68","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","27","79.49","80.34","0.02","-1.67","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","28","80.11","80.80","0.02","-1.52","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","29","81.06","81.86","0.02","-1.62","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","30","80.73","81.65","0.03","-1.76","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","31","80.78","81.89","0.05","-1.96","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","32","81.41","82.61","0.07","-2.08","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","33","81.40","82.67","0.07","-2.14","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","34","79.87","81.64","0.08","-2.65","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","35","79.49","80.53","0.00","-1.84","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","36","75.99","77.43","0.02","-2.26","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","37","75.73","76.23","0.03","-1.33","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","38","75.47","76.22","0.02","-1.57","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","39","75.18","76.40","0.02","-2.04","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","40","74.88","76.38","0.05","-2.36","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","41","77.23","79.25","0.05","-2.87","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","42","101.13","114.39","0.00","-14.06","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","43","78.99","80.37","0.00","-2.18","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","44","78.44","79.53","0.00","-1.90","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","45","79.20","79.82","0.00","-1.42","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","46","77.53","77.78","0.05","-1.10","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","47","75.92","76.32","0.12","-1.32","0.32","0.2700","-0.0001","0.2116"
"WEP","05 Jan 2015","48","72.45","72.45","0.06","-0.86","0.32","0.2700","-0.0001","0.2116"
"WEP","06 Jan 2015","1","81.92","79.77","1.93","-0.57","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","2","74.37","74.13","0.45","-1.01","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","3","76.29","76.17","0.33","-1.00","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","4","75.46","74.12","1.32","-0.78","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","5","74.25","73.71","0.44","-0.70","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","6","73.87","73.71","0.04","-0.68","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","7","73.23","73.07","0.00","-0.64","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","8","73.16","73.07","0.00","-0.71","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","9","73.14","73.07","0.00","-0.73","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","10","73.14","73.20","0.00","-0.86","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","11","74.02","74.09","0.00","-0.87","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","12","79.81","79.84","0.00","-0.83","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","13","80.85","80.65","0.22","-0.82","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","14","81.48","81.50","0.01","-0.83","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","15","77.69","77.32","0.05","-0.48","0.32","0.2700","-0.0001","0.2085"
"WEP","06 Jan 2015","16","79.58","79.40","0.00","-0.62","0.32","0.2700","-0.0001","0.2085"
