"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Nov 2019","22","GT","-0.075","-0.075"
"MG","01 Nov 2019","22","IGS","35.876","16.618"
"MG","01 Nov 2019","22","ST","49.335","47.051"
"MG","01 Nov 2019","23","CCGT/COGEN/TRIGEN","3228.786","3073.603"
"MG","01 Nov 2019","23","GT","-0.071","-0.071"
"MG","01 Nov 2019","23","IGS","37.242","17.171"
"MG","01 Nov 2019","23","ST","49.090","46.839"
"MG","01 Nov 2019","24","CCGT/COGEN/TRIGEN","3208.501","3052.425"
"MG","01 Nov 2019","24","GT","-0.067","-0.067"
"MG","01 Nov 2019","24","IGS","39.572","17.808"
"MG","01 Nov 2019","24","ST","49.628","47.368"
"MG","01 Nov 2019","25","CCGT/COGEN/TRIGEN","3180.622","3024.678"
"MG","01 Nov 2019","25","GT","-0.042","-0.042"
"MG","01 Nov 2019","25","IGS","39.750","18.417"
"MG","01 Nov 2019","25","ST","49.639","47.317"
"MG","01 Nov 2019","26","CCGT/COGEN/TRIGEN","3162.328","3006.237"
"MG","01 Nov 2019","26","GT","-0.035","-0.035"
"MG","01 Nov 2019","26","IGS","41.307","20.283"
"MG","01 Nov 2019","26","ST","48.569","46.238"
"MG","01 Nov 2019","27","CCGT/COGEN/TRIGEN","3194.008","3037.629"
"MG","01 Nov 2019","27","GT","-0.034","-0.034"
"MG","01 Nov 2019","27","IGS","36.473","15.548"
"MG","01 Nov 2019","27","ST","46.738","44.379"
"MG","01 Nov 2019","28","CCGT/COGEN/TRIGEN","3231.805","3075.522"
"MG","01 Nov 2019","28","GT","-0.035","-0.035"
"MG","01 Nov 2019","28","IGS","30.763","9.395"
"MG","01 Nov 2019","28","ST","48.101","45.732"
"MG","01 Nov 2019","29","CCGT/COGEN/TRIGEN","3241.192","3083.270"
"MG","01 Nov 2019","29","GT","-0.033","-0.033"
"MG","01 Nov 2019","29","IGS","19.432","3.146"
"MG","01 Nov 2019","29","ST","45.594","43.217"
"MG","01 Nov 2019","30","CCGT/COGEN/TRIGEN","3236.259","3078.137"
"MG","01 Nov 2019","30","GT","-0.033","-0.033"
"MG","01 Nov 2019","30","IGS","20.413","4.488"
"MG","01 Nov 2019","30","ST","46.889","44.496"
"MG","01 Nov 2019","31","CCGT/COGEN/TRIGEN","3219.607","3061.419"
"MG","01 Nov 2019","31","GT","-0.033","-0.033"
"MG","01 Nov 2019","31","IGS","18.022","3.687"
"MG","01 Nov 2019","31","ST","49.001","46.612"
"MG","01 Nov 2019","32","CCGT/COGEN/TRIGEN","3208.299","3049.998"
"MG","01 Nov 2019","32","GT","-0.033","-0.033"
"MG","01 Nov 2019","32","IGS","17.478","5.039"
"MG","01 Nov 2019","32","ST","49.184","46.799"
"MG","01 Nov 2019","33","CCGT/COGEN/TRIGEN","3210.879","3053.220"
"MG","01 Nov 2019","33","GT","-0.032","-0.032"
"MG","01 Nov 2019","33","IGS","16.574","5.328"
"MG","01 Nov 2019","33","ST","48.189","45.803"
"MG","01 Nov 2019","34","CCGT/COGEN/TRIGEN","3200.513","3043.303"
"MG","01 Nov 2019","34","GT","-0.031","-0.031"
"MG","01 Nov 2019","34","IGS","13.030","3.923"
