"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Dec 2019","22","GT","-0.031","-0.031"
"MG","01 Dec 2019","22","IGS","37.406","21.090"
"MG","01 Dec 2019","22","ST","52.938","50.609"
"MG","01 Dec 2019","23","CCGT/COGEN/TRIGEN","2775.976","2617.815"
"MG","01 Dec 2019","23","GT","-0.032","-0.032"
"MG","01 Dec 2019","23","IGS","33.728","17.315"
"MG","01 Dec 2019","23","ST","53.276","50.942"
"MG","01 Dec 2019","24","CCGT/COGEN/TRIGEN","2779.151","2621.065"
"MG","01 Dec 2019","24","GT","-0.032","-0.032"
"MG","01 Dec 2019","24","IGS","34.421","15.735"
"MG","01 Dec 2019","24","ST","53.280","50.975"
"MG","01 Dec 2019","25","CCGT/COGEN/TRIGEN","2763.172","2604.691"
"MG","01 Dec 2019","25","GT","-0.046","-0.046"
"MG","01 Dec 2019","25","IGS","37.348","18.712"
"MG","01 Dec 2019","25","ST","52.545","50.362"
"MG","01 Dec 2019","26","CCGT/COGEN/TRIGEN","2770.797","2612.308"
"MG","01 Dec 2019","26","GT","-0.053","-0.053"
"MG","01 Dec 2019","26","IGS","40.425","20.994"
"MG","01 Dec 2019","26","ST","52.067","49.924"
"MG","01 Dec 2019","27","CCGT/COGEN/TRIGEN","2780.286","2622.040"
"MG","01 Dec 2019","27","GT","-0.052","-0.052"
"MG","01 Dec 2019","27","IGS","41.857","21.111"
"MG","01 Dec 2019","27","ST","51.544","49.421"
"MG","01 Dec 2019","28","CCGT/COGEN/TRIGEN","2798.070","2638.852"
"MG","01 Dec 2019","28","GT","-0.046","-0.046"
"MG","01 Dec 2019","28","IGS","39.014","17.763"
"MG","01 Dec 2019","28","ST","51.046","48.954"
"MG","01 Dec 2019","29","CCGT/COGEN/TRIGEN","2809.872","2648.852"
"MG","01 Dec 2019","29","GT","-0.032","-0.032"
"MG","01 Dec 2019","29","IGS","35.335","14.399"
"MG","01 Dec 2019","29","ST","52.611","50.520"
"MG","01 Dec 2019","30","CCGT/COGEN/TRIGEN","2803.736","2642.890"
"MG","01 Dec 2019","30","GT","-0.033","-0.033"
"MG","01 Dec 2019","30","IGS","29.913","12.245"
"MG","01 Dec 2019","30","ST","53.165","51.075"
"MG","01 Dec 2019","31","CCGT/COGEN/TRIGEN","2797.385","2636.229"
"MG","01 Dec 2019","31","GT","-0.033","-0.033"
"MG","01 Dec 2019","31","IGS","28.171","13.912"
"MG","01 Dec 2019","31","ST","52.195","50.149"
"MG","01 Dec 2019","32","CCGT/COGEN/TRIGEN","2804.677","2644.633"
"MG","01 Dec 2019","32","GT","-0.032","-0.032"
"MG","01 Dec 2019","32","IGS","23.439","10.728"
"MG","01 Dec 2019","32","ST","53.311","51.245"
"MG","01 Dec 2019","33","CCGT/COGEN/TRIGEN","2804.524","2645.189"
"MG","01 Dec 2019","33","GT","-0.031","-0.031"
"MG","01 Dec 2019","33","IGS","16.832","5.790"
"MG","01 Dec 2019","33","ST","54.104","52.030"
"MG","01 Dec 2019","34","CCGT/COGEN/TRIGEN","2805.970","2646.571"
"MG","01 Dec 2019","34","GT","-0.033","-0.033"
"MG","01 Dec 2019","34","IGS","15.077","5.118"
"MG","01 Dec 2019","34","ST","53.857","51.864"
"MG","01 Dec 2019","35","CCGT/COGEN/TRIGEN","2802.846","2637.694"
"MG","01 Dec 2019","35","GT","-0.032","-0.032"
"MG","01 Dec 2019","35","IGS","10.460","2.869"
"MG","01 Dec 2019","35","ST","53.239","51.248"
"MG","01 Dec 2019","36","CCGT/COGEN/TRIGEN","2807.456","2637.903"
"MG","01 Dec 2019","36","GT","-0.034","-0.034"
"MG","01 Dec 2019","36","IGS","6.975","1.451"
"MG","01 Dec 2019","36","ST","54.451","52.464"
"MG","01 Dec 2019","37","CCGT/COGEN/TRIGEN","2818.001","2641.303"
"MG","01 Dec 2019","37","GT","-0.057","-0.057"
"MG","01 Dec 2019","37","IGS","3.282","0.468"
"MG","01 Dec 2019","37","ST","53.425","51.419"
"MG","01 Dec 2019","38","CCGT/COGEN/TRIGEN","2851.820","2674.461"
"MG","01 Dec 2019","38","GT","-0.052","-0.052"
"MG","01 Dec 2019","38","IGS","0.773","0.030"
"MG","01 Dec 2019","38","ST","53.635","51.654"
"MG","01 Dec 2019","39","CCGT/COGEN/TRIGEN","2896.706","2719.950"
"MG","01 Dec 2019","39","GT","-0.052","-0.052"
"MG","01 Dec 2019","39","IGS","-0.006","-0.006"
"MG","01 Dec 2019","39","ST","53.967","51.981"
"MG","01 Dec 2019","40","CCGT/COGEN/TRIGEN","2907.026","2731.130"
"MG","01 Dec 2019","40","GT","-0.037","-0.037"
"MG","01 Dec 2019","40","IGS","-0.016","-0.016"
"MG","01 Dec 2019","40","ST","55.082","53.099"
"MG","01 Dec 2019","41","CCGT/COGEN/TRIGEN","2906.655","2730.912"
"MG","01 Dec 2019","41","GT","-0.035","-0.035"
"MG","01 Dec 2019","41","IGS","-0.006","-0.006"
"MG","01 Dec 2019","41","ST","55.322","53.368"
"MG","01 Dec 2019","42","CCGT/COGEN/TRIGEN","2912.270","2736.677"
"MG","01 Dec 2019","42","GT","-0.035","-0.035"
"MG","01 Dec 2019","42","IGS","-0.006","-0.006"
"MG","01 Dec 2019","42","ST","54.449","52.460"
"MG","01 Dec 2019","43","CCGT/COGEN/TRIGEN","2900.327","2724.627"
"MG","01 Dec 2019","43","GT","-0.034","-0.034"
"MG","01 Dec 2019","43","IGS","-0.006","-0.006"
"MG","01 Dec 2019","43","ST","54.886","52.947"
"MG","01 Dec 2019","44","CCGT/COGEN/TRIGEN","2870.049","2693.937"
"MG","01 Dec 2019","44","GT","-0.034","-0.034"
"MG","01 Dec 2019","44","IGS","-0.004","-0.004"
"MG","01 Dec 2019","44","ST","54.358","52.417"
"MG","01 Dec 2019","45","CCGT/COGEN/TRIGEN","2809.119","2633.335"
"MG","01 Dec 2019","45","GT","-0.033","-0.033"
"MG","01 Dec 2019","45","IGS","-0.006","-0.006"
"MG","01 Dec 2019","45","ST","54.770","52.794"
"MG","01 Dec 2019","46","CCGT/COGEN/TRIGEN","2752.238","2575.523"
"MG","01 Dec 2019","46","GT","-0.034","-0.034"
"MG","01 Dec 2019","46","IGS","-0.006","-0.006"
"MG","01 Dec 2019","46","ST","54.525","52.543"
"MG","01 Dec 2019","47","CCGT/COGEN/TRIGEN","2691.113","2513.661"
"MG","01 Dec 2019","47","GT","-0.032","-0.032"
"MG","01 Dec 2019","47","IGS","-0.004","-0.004"
"MG","01 Dec 2019","47","ST","55.131","53.161"
"MG","01 Dec 2019","48","CCGT/COGEN/TRIGEN","2621.515","2443.922"
"MG","01 Dec 2019","48","GT","-0.033","-0.033"
"MG","01 Dec 2019","48","IGS","-0.006","-0.006"
"MG","01 Dec 2019","48","ST","53.459","51.511"
"MG","02 Dec 2019","1","CCGT/COGEN/TRIGEN","2572.738","2395.911"
"MG","02 Dec 2019","1","GT","-0.032","-0.032"
"MG","02 Dec 2019","1","IGS","-0.006","-0.006"
"MG","02 Dec 2019","1","ST","54.471","52.504"
"MG","02 Dec 2019","2","CCGT/COGEN/TRIGEN","2520.497","2340.526"
"MG","02 Dec 2019","2","GT","-0.033","-0.033"
"MG","02 Dec 2019","2","IGS","-0.004","-0.004"
"MG","02 Dec 2019","2","ST","52.872","50.910"
"MG","02 Dec 2019","3","CCGT/COGEN/TRIGEN","2472.871","2292.393"
"MG","02 Dec 2019","3","GT","-0.033","-0.033"
"MG","02 Dec 2019","3","IGS","-0.005","-0.006"
"MG","02 Dec 2019","3","ST","53.487","51.530"
"MG","02 Dec 2019","4","CCGT/COGEN/TRIGEN","2437.131","2256.027"
"MG","02 Dec 2019","4","GT","-0.032","-0.032"
"MG","02 Dec 2019","4","IGS","-0.006","-0.006"
"MG","02 Dec 2019","4","ST","53.576","51.631"
"MG","02 Dec 2019","5","CCGT/COGEN/TRIGEN","2403.954","2223.404"
"MG","02 Dec 2019","5","GT","-0.033","-0.033"
"MG","02 Dec 2019","5","IGS","-0.005","-0.006"
"MG","02 Dec 2019","5","ST","53.126","51.220"
"MG","02 Dec 2019","6","CCGT/COGEN/TRIGEN","2389.099","2208.833"
"MG","02 Dec 2019","6","GT","-0.033","-0.033"
"MG","02 Dec 2019","6","IGS","-0.004","-0.004"
"MG","02 Dec 2019","6","ST","52.751","50.850"
"MG","02 Dec 2019","7","CCGT/COGEN/TRIGEN","2367.487","2187.054"
"MG","02 Dec 2019","7","GT","-0.033","-0.033"
"MG","02 Dec 2019","7","IGS","-0.006","-0.006"
"MG","02 Dec 2019","7","ST","52.668","50.749"
"MG","02 Dec 2019","8","CCGT/COGEN/TRIGEN","2359.996","2179.954"
"MG","02 Dec 2019","8","GT","-0.032","-0.032"
"MG","02 Dec 2019","8","IGS","-0.006","-0.006"
"MG","02 Dec 2019","8","ST","53.084","51.119"
"MG","02 Dec 2019","9","CCGT/COGEN/TRIGEN","2354.394","2174.406"
"MG","02 Dec 2019","9","GT","-0.034","-0.034"
"MG","02 Dec 2019","9","IGS","-0.018","-0.018"
"MG","02 Dec 2019","9","ST","53.185","51.185"
"MG","02 Dec 2019","10","CCGT/COGEN/TRIGEN","2356.149","2176.278"
"MG","02 Dec 2019","10","GT","-0.032","-0.032"
"MG","02 Dec 2019","10","IGS","-0.004","-0.004"
"MG","02 Dec 2019","10","ST","53.443","51.459"
"MG","02 Dec 2019","11","CCGT/COGEN/TRIGEN","2385.396","2205.255"
"MG","02 Dec 2019","11","GT","-0.032","-0.032"
"MG","02 Dec 2019","11","IGS","-0.006","-0.006"
"MG","02 Dec 2019","11","ST","52.041","50.090"
"MG","02 Dec 2019","12","CCGT/COGEN/TRIGEN","2435.883","2255.220"
"MG","02 Dec 2019","12","GT","-0.031","-0.031"
"MG","02 Dec 2019","12","IGS","-0.018","-0.018"
"MG","02 Dec 2019","12","ST","51.677","49.760"
"MG","02 Dec 2019","13","CCGT/COGEN/TRIGEN","2525.701","2344.137"
"MG","02 Dec 2019","13","GT","-0.033","-0.033"
"MG","02 Dec 2019","13","IGS","-0.005","-0.006"
"MG","02 Dec 2019","13","ST","52.792","50.862"
"MG","02 Dec 2019","14","CCGT/COGEN/TRIGEN","2625.387","2443.193"
"MG","02 Dec 2019","14","GT","-0.031","-0.031"
"MG","02 Dec 2019","14","IGS","0.002","-0.004"
"MG","02 Dec 2019","14","ST","53.493","51.555"
"MG","02 Dec 2019","15","CCGT/COGEN/TRIGEN","2732.944","2551.971"
"MG","02 Dec 2019","15","GT","-0.031","-0.031"
"MG","02 Dec 2019","15","IGS","1.052","0.094"
"MG","02 Dec 2019","15","ST","54.466","52.525"
"MG","02 Dec 2019","16","CCGT/COGEN/TRIGEN","2855.531","2678.354"
"MG","02 Dec 2019","16","GT","-0.029","-0.029"
"MG","02 Dec 2019","16","IGS","4.538","0.922"
"MG","02 Dec 2019","16","ST","54.334","52.395"
"MG","02 Dec 2019","17","CCGT/COGEN/TRIGEN","2991.148","2818.115"
"MG","02 Dec 2019","17","GT","-0.029","-0.029"
"MG","02 Dec 2019","17","IGS","9.607","2.917"
"MG","02 Dec 2019","17","ST","54.019","52.120"
"MG","02 Dec 2019","18","CCGT/COGEN/TRIGEN","3093.061","2920.964"
"MG","02 Dec 2019","18","GT","-0.030","-0.030"
"MG","02 Dec 2019","18","IGS","15.357","5.501"
"MG","02 Dec 2019","18","ST","53.952","52.058"
"MG","02 Dec 2019","19","CCGT/COGEN/TRIGEN","3155.366","2983.586"
"MG","02 Dec 2019","19","GT","-0.030","-0.030"
"MG","02 Dec 2019","19","IGS","20.623","8.199"
"MG","02 Dec 2019","19","ST","53.701","51.791"
"MG","02 Dec 2019","20","CCGT/COGEN/TRIGEN","3187.138","3019.366"
"MG","02 Dec 2019","20","GT","-0.031","-0.031"
"MG","02 Dec 2019","20","IGS","28.593","12.418"
"MG","02 Dec 2019","20","ST","53.075","51.180"
"MG","02 Dec 2019","21","CCGT/COGEN/TRIGEN","3227.712","3057.372"
"MG","02 Dec 2019","21","GT","-0.033","-0.033"
"MG","02 Dec 2019","21","IGS","35.148","16.353"
"MG","02 Dec 2019","21","ST","51.786","49.898"
"MG","02 Dec 2019","22","CCGT/COGEN/TRIGEN","3242.371","3067.993"
"MG","02 Dec 2019","22","GT","-0.031","-0.031"
"MG","02 Dec 2019","22","IGS","38.423","17.802"
"MG","02 Dec 2019","22","ST","52.981","51.144"
"MG","02 Dec 2019","23","CCGT/COGEN/TRIGEN","3251.109","3076.892"
"MG","02 Dec 2019","23","GT","-0.032","-0.032"
"MG","02 Dec 2019","23","IGS","39.934","18.819"
"MG","02 Dec 2019","23","ST","53.337","51.464"
"MG","02 Dec 2019","24","CCGT/COGEN/TRIGEN","3245.850","3073.846"
"MG","02 Dec 2019","24","GT","-0.033","-0.033"
"MG","02 Dec 2019","24","IGS","41.262","19.110"
"MG","02 Dec 2019","24","ST","52.772","50.890"
"MG","02 Dec 2019","25","CCGT/COGEN/TRIGEN","3224.305","3050.047"
"MG","02 Dec 2019","25","GT","-0.033","-0.033"
"MG","02 Dec 2019","25","IGS","36.506","15.343"
"MG","02 Dec 2019","25","ST","52.767","50.887"
"MG","02 Dec 2019","26","CCGT/COGEN/TRIGEN","3220.223","3044.192"
"MG","02 Dec 2019","26","GT","-0.033","-0.033"
"MG","02 Dec 2019","26","IGS","32.254","11.111"
"MG","02 Dec 2019","26","ST","52.933","51.026"
"MG","02 Dec 2019","27","CCGT/COGEN/TRIGEN","3252.048","3074.592"
"MG","02 Dec 2019","27","GT","-0.038","-0.038"
"MG","02 Dec 2019","27","IGS","29.253","10.765"
"MG","02 Dec 2019","27","ST","52.499","50.558"
"MG","02 Dec 2019","28","CCGT/COGEN/TRIGEN","3275.264","3096.610"
"MG","02 Dec 2019","28","GT","-0.056","-0.056"
"MG","02 Dec 2019","28","IGS","24.902","7.457"
